,vignette,actor,infotype,use,type
0,"A browser collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web6
1,"A browser collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,web6
2,"A browser collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web6
3,"A browser collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",browser,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web6
4,A browser collects your your location. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,browser,your location,for others to place ads targeted to you while you are online later,web6
5,A browser collects your your location. The company sells the data to a data broker who uses the data to to improve services generally,browser,your location,to improve services generally,web6
6,A browser collects your your location. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,browser,your location,to place ads targeted to you while on their site,web6
7,"A browser collects your your location. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
8,A browser collects your your search history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,browser,your search history,for others to place ads targeted to you while you are online later,web6
9,A browser collects your your search history. The company sells the data to a data broker who uses the data to to improve services generally,browser,your search history,to improve services generally,web6
10,A browser collects your your search history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,browser,your search history,to place ads targeted to you while on their site,web6
11,"A browser collects your your search history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
12,A browser collects your the data you included in your profile. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,browser,the data you included in your profile,for others to place ads targeted to you while you are online later,web6
13,A browser collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to improve services generally,browser,the data you included in your profile,to improve services generally,web6
14,A browser collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,browser,the data you included in your profile,to place ads targeted to you while on their site,web6
15,"A browser collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",browser,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
16,A browser collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,browser,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web6
17,A browser collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to improve services generally,browser,your web activity including browsing or purchase history,to improve services generally,web6
18,A browser collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,browser,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web6
19,"A browser collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",browser,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
20,"A search engine collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later",search engine,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web6
21,"A search engine collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to improve services generally",search engine,"your likes, clicks and engagement online",to improve services generally,web6
22,"A search engine collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site",search engine,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web6
23,"A search engine collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web6
24,A search engine collects your your location. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,search engine,your location,for others to place ads targeted to you while you are online later,web6
25,A search engine collects your your location. The company sells the data to a data broker who uses the data to to improve services generally,search engine,your location,to improve services generally,web6
26,A search engine collects your your location. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,search engine,your location,to place ads targeted to you while on their site,web6
27,"A search engine collects your your location. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your location,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
28,A search engine collects your your search history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,search engine,your search history,for others to place ads targeted to you while you are online later,web6
29,A search engine collects your your search history. The company sells the data to a data broker who uses the data to to improve services generally,search engine,your search history,to improve services generally,web6
30,A search engine collects your your search history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,search engine,your search history,to place ads targeted to you while on their site,web6
31,"A search engine collects your your search history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your search history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
32,A search engine collects your the data you included in your profile. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,search engine,the data you included in your profile,for others to place ads targeted to you while you are online later,web6
33,A search engine collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to improve services generally,search engine,the data you included in your profile,to improve services generally,web6
34,A search engine collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,search engine,the data you included in your profile,to place ads targeted to you while on their site,web6
35,"A search engine collects your the data you included in your profile. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,the data you included in your profile,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
36,A search engine collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,search engine,your web activity including browsing or purchase history,for others to place ads targeted to you while you are online later,web6
37,A search engine collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to improve services generally,search engine,your web activity including browsing or purchase history,to improve services generally,web6
38,A search engine collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,search engine,your web activity including browsing or purchase history,to place ads targeted to you while on their site,web6
39,"A search engine collects your your web activity including browsing or purchase history. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",search engine,your web activity including browsing or purchase history,"to sell access to their data (e.g., to a potential buyer or lending institution)",web6
40,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,web6
41,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to improve services generally",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",to improve services generally,web6
42,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site",social media site connecting friends and acquaintances,"your likes, clicks and engagement online",to place ads targeted to you while on their site,web6
43,"A social media site connecting friends and acquaintances collects your your likes, clicks and engagement online. The company sells the data to a data broker who uses the data to to sell access to their data (e.g., to a potential buyer or lending institution)",social media site connecting friends and acquaintances,"your likes, clicks and engagement online","to sell access to their data (e.g., to a potential buyer or lending institution)",web6
44,A social media site connecting friends and acquaintances collects your your location. The company sells the data to a data broker who uses the data to for others to place ads targeted to you while you are online later,social media site connecting friends and acquaintances,your location,for others to place ads targeted to you while you are online later,web6
45,A social media site connecting friends and acquaintances collects your your location. The company sells the data to a data broker who uses the data to to improve services generally,social media site connecting friends and acquaintances,your location,to improve services generally,web6
46,A social media site connecting friends and acquaintances collects your your location. The company sells the data to a data broker who uses the data to to place ads targeted to you while on their site,social media site connecting friends and acquaintances,your location,to place ads targeted to you while on their site,web6
