,vignette,actor,infotype,use,inference,type
0,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your demographics such as age, gender, race, family status, income, sexual orientation etc.. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web5
1,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your your emotional state or your mood. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,your emotional state or your mood,web5
2,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web5
3,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web5
4,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web5
5,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your demographics such as age, gender, race, family status, income, sexual orientation etc.. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web5
6,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your your emotional state or your mood. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,your emotional state or your mood,web5
7,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web5
8,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web5
9,"A browser allows small trackers owned by a data broker to collect your likes, clicks and engagement online. Based on the collected data and people similar to you, the data broker is able to infer about your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web5
