,vignette,actor,infotype,use,inference,type
0,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your demographics such as age, gender, race, family status, income, sexual orientation etc. based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web4
1,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your your emotional state or your mood based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,your emotional state or your mood,web4
2,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web4
3,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web4
4,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order for others to place ads targeted to you while you are online later.",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web4
5,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your demographics such as age, gender, race, family status, income, sexual orientation etc. based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web4
6,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your your emotional state or your mood based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,your emotional state or your mood,web4
7,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web4
8,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web4
9,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.) based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to improve services generally.",browser,"your likes, clicks and engagement online",to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web4
10,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your demographics such as age, gender, race, family status, income, sexual orientation etc. based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to place ads targeted to you while on their site.",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web4
11,"A browser collects your your likes, clicks and engagement online. While the data never leaves the original company, a data broker is allowed to infer your your emotional state or your mood based on the data collected about you and other people. The data broker then keeps this knowledge about you and others in order to place ads targeted to you while on their site.",browser,"your likes, clicks and engagement online",to place ads targeted to you while on their site,your emotional state or your mood,web4
