,vignette,actor,infotype,use,inference,type
0,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
1,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,your emotional state or your mood,web3
2,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
3,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
4,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order for others to place ads targeted to you while you are online later",browser,"your likes, clicks and engagement online",for others to place ads targeted to you while you are online later,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
5,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your demographics such as age, gender, race, family status, income, sexual orientation etc.. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,"demographics such as age, gender, race, family status, income, sexual orientation etc.",web3
6,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your your emotional state or your mood. A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,your emotional state or your mood,web3
7,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,"friends or favourite activities (e.g., types of bars, reading preferences, LGBTQ+ friends, etc.)",web3
8,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,"interests, concerns or purchase intentions (e.g., diabetes concerns, babies, retirement planning, dating etc.)",web3
9,"A browser collects your your likes, clicks and engagement online. Based on your collected data and people similar to you, the company is able to infer your recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.). A data brker is allowed to purchase this new knowledge about you and others in order to improve services generally",browser,"your likes, clicks and engagement online",to improve services generally,"recent medical procedures or doctor's office visits (e.g., therapist, reproductive care etc.)",web3
